Name,Company,Email,Phone,Status,Value,Source,Website,Notes,Created
"CSV Import Client 3","CSV Company Gamma","csvtest3@example.com","+1-555-1003","inactive","3000","LinkedIn","","Third test import with no website","1/26/2026"
"CSV Import Client 2","CSV Company Beta","csvtest2@example.com","+1-555-1002","active","7500","Referral","https://company-beta.com","Second test import","1/26/2026"
"CSV Import Client 1","CSV Company Alpha","csvtest1@example.com","+1-555-1001","lead","5000","Website","https://company-alpha.com","First test import","1/26/2026"
"Toast Test Client","","","","lead","","","","","1/26/2026"
"SearchTest12345","","","","lead","","","","","1/26/2026"
"URL Test Client","","","","lead","","","https://example.com","","1/26/2026"
"Phone Validation Test","","","+1 (555) 123-4567","lead","","","","","1/26/2026"
"Phone Test Client","","","abc123","lead","","","","","1/26/2026"
"Enter Test Client","","","","lead","","","","","1/26/2026"
"Load Test Client 86","Load Test Company 86","loadtest86@example.com","+1-555-0086","active","8600","Referral","","","1/26/2026"
"Load Test Client 1","Load Test Company 1","loadtest1@example.com","+1-555-0001","lead","100","Website","","","1/26/2026"
"Load Test Client 79","Load Test Company 79","loadtest79@example.com","+1-555-0079","inactive","7900","Website","","","1/26/2026"
"Load Test Client 80","Load Test Company 80","loadtest80@example.com","+1-555-0080","churned","8000","Referral","","","1/26/2026"
"Load Test Client 81","Load Test Company 81","loadtest81@example.com","+1-555-0081","lead","8100","LinkedIn","","","1/26/2026"
"Load Test Client 82","Load Test Company 82","loadtest82@example.com","+1-555-0082","active","8200","Google Ads","","","1/26/2026"
"Load Test Client 83","Load Test Company 83","loadtest83@example.com","+1-555-0083","inactive","8300","Cold Call","","","1/26/2026"
"Load Test Client 84","Load Test Company 84","loadtest84@example.com","+1-555-0084","churned","8400","Trade Show","","","1/26/2026"
"Load Test Client 85","Load Test Company 85","loadtest85@example.com","+1-555-0085","lead","8500","Website","","","1/26/2026"
"Load Test Client 87","Load Test Company 87","loadtest87@example.com","+1-555-0087","inactive","8700","LinkedIn","","","1/26/2026"
"Load Test Client 88","Load Test Company 88","loadtest88@example.com","+1-555-0088","churned","8800","Google Ads","","","1/26/2026"
"Load Test Client 89","Load Test Company 89","loadtest89@example.com","+1-555-0089","lead","8900","Cold Call","","","1/26/2026"
"Load Test Client 90","Load Test Company 90","loadtest90@example.com","+1-555-0090","active","9000","Trade Show","","","1/26/2026"
"Load Test Client 2","Load Test Company 2","loadtest2@example.com","+1-555-0002","active","200","Referral","","","1/26/2026"
"Load Test Client 3","Load Test Company 3","loadtest3@example.com","+1-555-0003","inactive","300","LinkedIn","","","1/26/2026"
"Load Test Client 4","Load Test Company 4","loadtest4@example.com","+1-555-0004","churned","400","Google Ads","","","1/26/2026"
"Load Test Client 5","Load Test Company 5","loadtest5@example.com","+1-555-0005","lead","500","Cold Call","","","1/26/2026"
"Load Test Client 6","Load Test Company 6","loadtest6@example.com","+1-555-0006","active","600","Trade Show","","","1/26/2026"
